checksum1,checksum2,join_count,join_threads,join_time,max_key,nr,ns,partition_threads,partition_time,time_sec
3120620188374471864,4973595021879194218,1525849754,1,0.202413,65536,10000000,10000000,1,0.267631,0.487498
3120620188374471864,4973595021879194218,1525849754,1,0.230125,65536,10000000,10000000,2,0.190112,0.437878
3120620188374471864,4973595021879194218,1525849754,1,0.209993,65536,10000000,10000000,4,0.193661,0.421359
3120620188374471864,4973595021879194218,1525849754,1,0.213381,65536,10000000,10000000,8,0.194230,0.425255
3120620188374471864,4973595021879194218,1525849754,1,0.202978,65536,10000000,10000000,16,0.190957,0.411441
3120620188374471864,4973595021879194218,1525849754,1,0.231999,65536,10000000,10000000,32,0.190917,0.440625
3120620188374471864,4973595021879194218,1525849754,1,0.222483,65536,10000000,10000000,64,0.188507,0.428537
16178780764414249519,11962576331923893725,381484227,1,0.266990,262144,10000000,10000000,1,0.268753,0.553385
16178780764414249519,11962576331923893725,381484227,1,0.266923,262144,10000000,10000000,2,0.187018,0.471508
16178780764414249519,11962576331923893725,381484227,1,0.241629,262144,10000000,10000000,4,0.188334,0.447466
16178780764414249519,11962576331923893725,381484227,1,0.268173,262144,10000000,10000000,8,0.190676,0.476542
16178780764414249519,11962576331923893725,381484227,1,0.273737,262144,10000000,10000000,16,0.187358,0.478585
16178780764414249519,11962576331923893725,381484227,1,0.269722,262144,10000000,10000000,32,0.190679,0.477958
16178780764414249519,11962576331923893725,381484227,1,0.269828,262144,10000000,10000000,64,0.189202,0.476806
6145254653632685119,1382805155497999100,95375885,1,0.367826,1048576,10000000,10000000,1,0.272494,0.657790
6145254653632685119,1382805155497999100,95375885,1,0.332637,1048576,10000000,10000000,2,0.192053,0.542313
6145254653632685119,1382805155497999100,95375885,1,0.386708,1048576,10000000,10000000,4,0.187007,0.591310
6145254653632685119,1382805155497999100,95375885,1,0.350769,1048576,10000000,10000000,8,0.188631,0.557086
6145254653632685119,1382805155497999100,95375885,1,0.383396,1048576,10000000,10000000,16,0.193142,0.594145
6145254653632685119,1382805155497999100,95375885,1,0.365555,1048576,10000000,10000000,32,0.183337,0.566319
6145254653632685119,1382805155497999100,95375885,1,0.373673,1048576,10000000,10000000,64,0.185360,0.576727
17811732872560360511,10071065326563288576,591,4,0.000082,128,300,260,4,0.000191,0.000274
