checksum1,checksum2,join_count,join_threads,join_throughput,join_time,max_key,nr,ns,partition_threads,partition_throughput,partition_time,time_sec,total_throughput
15384239832666499847,2938791386226452392,38147013639,4,226905646.210308,0.440712,65536,50000000,50000000,4,108973971.298480,0.917650,1.360820,73485119.502791
15384239832666499847,2938791386226452392,38147013639,8,416388874.454396,0.240160,65536,50000000,50000000,4,109579681.248196,0.912578,1.155113,86571603.369710
15384239832666499847,2938791386226452392,38147013639,16,787129055.048534,0.127044,65536,50000000,50000000,4,109254278.978580,0.915296,1.044869,95705743.851919
15384239832666499847,2938791386226452392,38147013639,32,946822669.076348,0.105616,65536,50000000,50000000,4,109240554.654499,0.915411,1.023665,97688166.618890
15384239832666499847,2938791386226452392,38147013639,64,814406884.433482,0.122789,65536,50000000,50000000,4,109394793.947950,0.914120,1.039518,96198386.419992
15384239832666499847,2938791386226452392,38147013639,4,219152334.399663,0.456304,65536,50000000,50000000,8,166638650.571085,0.600101,1.058757,94450357.172232
15384239832666499847,2938791386226452392,38147013639,8,389282631.646183,0.256883,65536,50000000,50000000,8,167104394.130615,0.598428,0.857697,116591290.045393
15384239832666499847,2938791386226452392,38147013639,16,785925914.366529,0.127238,65536,50000000,50000000,8,167022112.754366,0.598723,0.728502,137268017.584983
15384239832666499847,2938791386226452392,38147013639,32,990269401.810198,0.100983,65536,50000000,50000000,8,166648141.201714,0.600067,0.703639,142118332.689517
15384239832666499847,2938791386226452392,38147013639,64,845280014.923331,0.118304,65536,50000000,50000000,8,167013888.761429,0.598753,0.719388,139006954.048817
15384239832666499847,2938791386226452392,38147013639,4,220578088.389151,0.453354,65536,50000000,50000000,16,233548834.879666,0.428176,0.883981,113124659.053641
15384239832666499847,2938791386226452392,38147013639,8,420792195.316973,0.237647,65536,50000000,50000000,16,232326433.685168,0.430429,0.670588,149122806.793384
15384239832666499847,2938791386226452392,38147013639,16,785776950.550715,0.127263,65536,50000000,50000000,16,229483988.856587,0.435760,0.565602,176802890.295381
15384239832666499847,2938791386226452392,38147013639,32,957655853.957793,0.104422,65536,50000000,50000000,16,232792371.558663,0.429567,0.537189,186154390.663002
15384239832666499847,2938791386226452392,38147013639,64,807909654.885455,0.123776,65536,50000000,50000000,16,232991213.338079,0.429201,0.555692,179955656.175290
15384239832666499847,2938791386226452392,38147013639,4,221109532.147654,0.452265,65536,50000000,50000000,32,270399870.499196,0.369823,0.824422,121297161.073766
15384239832666499847,2938791386226452392,38147013639,8,418307310.232543,0.239059,65536,50000000,50000000,32,274347092.639130,0.364502,0.606100,164989329.323188
15384239832666499847,2938791386226452392,38147013639,16,784821842.952164,0.127417,65536,50000000,50000000,32,271913779.790214,0.367764,0.497765,200897828.822303
15384239832666499847,2938791386226452392,38147013639,32,984536261.963846,0.101571,65536,50000000,50000000,32,272822238.433781,0.366539,0.471313,212173059.129816
15384239832666499847,2938791386226452392,38147013639,64,817103131.033672,0.122384,65536,50000000,50000000,32,274838472.328456,0.363850,0.488727,204613056.736882
15384239832666499847,2938791386226452392,38147013639,4,229006976.726409,0.436668,65536,50000000,50000000,64,278377441.878107,0.359225,0.798481,125237794.879488
15384239832666499847,2938791386226452392,38147013639,8,416132807.582910,0.240308,65536,50000000,50000000,64,265898950.190511,0.376083,0.618965,161560098.482068
15384239832666499847,2938791386226452392,38147013639,16,788494760.815389,0.126824,65536,50000000,50000000,64,270357269.018235,0.369881,0.499310,200276531.630145
15384239832666499847,2938791386226452392,38147013639,32,981130018.192733,0.101923,65536,50000000,50000000,64,270633658.950469,0.369503,0.474556,210723095.149195
15384239832666499847,2938791386226452392,38147013639,64,873336267.711313,0.114503,65536,50000000,50000000,64,276678750.763781,0.361430,0.479437,208577870.498580
17761779669907186848,18245323966585418328,9536796192,4,214134144.134039,0.466997,262144,50000000,50000000,4,109131378.756061,0.916327,1.385644,72168629.723904
17761779669907186848,18245323966585418328,9536796192,8,410608118.868260,0.243541,262144,50000000,50000000,4,108361426.951516,0.922838,1.168890,85551243.249615
17761779669907186848,18245323966585418328,9536796192,16,634656230.803535,0.157566,262144,50000000,50000000,4,107775858.714394,0.927852,1.087883,91921683.714603
