checksum1,checksum2,join_count,join_threads,join_throughput,join_time,max_key,nr,ns,partition_threads,partition_throughput,partition_time,time_sec,total_throughput
7970473340851283408,15465518843320288240,99994796,4,143042681.889996,0.139818,1000000,10000000,10000000,4,111274685.032468,0.179735,0.320127,62475141.337447
7970473340851283408,15465518843320288240,99994796,8,279209436.157246,0.071631,1000000,10000000,10000000,8,166663048.660486,0.120003,0.192162,104078583.995503
7970473340851283408,15465518843320288240,99994796,16,296876589.528763,0.067368,1000000,10000000,10000000,16,219261995.769636,0.091215,0.159319,125533951.431559
7970473340851283408,15465518843320288240,99994796,32,522006413.958055,0.038314,1000000,10000000,10000000,32,241758679.163267,0.082727,0.121801,164201982.990885
9484500805786004277,383871123996043952,400018499,4,164041131.608418,0.243841,1000000,20000000,20000000,4,110270867.982270,0.362743,0.607587,65834201.932445
9484500805786004277,383871123996043952,400018499,8,314349611.775639,0.127247,1000000,20000000,20000000,8,167222681.944258,0.239202,0.367386,108877196.163563
9484500805786004277,383871123996043952,400018499,16,595340558.461696,0.067188,1000000,20000000,20000000,16,229718317.307947,0.174126,0.242390,165023424.129567
9484500805786004277,383871123996043952,400018499,32,552921760.730510,0.072343,1000000,20000000,20000000,32,266587087.756395,0.150045,0.223425,179031149.239502
3575568045776244981,7674070805499128156,1599982716,4,160147682.717723,0.499539,1000000,40000000,40000000,4,108414726.891985,0.737907,1.239414,64546652.749210
3575568045776244981,7674070805499128156,1599982716,8,303966309.717149,0.263187,1000000,40000000,40000000,8,166201471.693313,0.481344,0.746500,107166761.133825
3575568045776244981,7674070805499128156,1599982716,16,563976911.305387,0.141850,1000000,40000000,40000000,16,232748775.734827,0.343718,0.487586,164073692.852564
3575568045776244981,7674070805499128156,1599982716,32,510275420.849739,0.156778,1000000,40000000,40000000,32,271772905.413184,0.294363,0.453634,176353560.054047
5005231824904745395,17428110892679703204,6400010645,4,169264073.378391,0.945269,1000000,80000000,80000000,4,107621338.031429,1.486694,2.435517,65694468.056309
5005231824904745395,17428110892679703204,6400010645,8,315177833.713932,0.507650,1000000,80000000,80000000,8,165073967.959879,0.969262,1.480412,108077989.238063
5005231824904745395,17428110892679703204,6400010645,16,589400866.369606,0.271462,1000000,80000000,80000000,16,233227570.621547,0.686025,0.961062,166482425.204197
5005231824904745395,17428110892679703204,6400010645,32,555214182.256034,0.288177,1000000,80000000,80000000,32,276779303.705096,0.578078,0.869930,183922813.837499
